Movie,Award,Year_of_Award
Shakespeare in Love,Best Actress,1999
Boys Don't Cry,Best Actress,2000
Erin Brockovich,Best Actress,2001
Monster's Ball,Best Actress,2002
The Hours,Best Actress,2003
Monster,Best Actress,2004
Million Dollar Baby,Best Actress,2005
Walk the Line,Best Actress,2006
The Queen,Best Actress,2007
The Passionate Life of Edith Piaf,Best Actress,2008
The Reader,Best Actress,2009
The Blind Side,Best Actress,2010
Black Swan,Best Actress,2011
The Iron Lady,Best Actress,2012
Silver Linings Playbook,Best Actress,2013
Blue Jasmine,Best Actress,2014
Anthony Adverse,Best Supporting Actress,1937
In Old Chicago,Best Supporting Actress,1938
Jezebel,Best Supporting Actress,1939
Gone with the Wind,Best Supporting Actress,1940
The Grapes of Wrath,Best Supporting Actress,1941
The Great Lie,Best Supporting Actress,1942
Mrs. Miniver,Best Supporting Actress,1943
For Whom the Bell Tolls,Best Supporting Actress,1944
None but the Lonely Heart,Best Supporting Actress,1945
National Velvet,Best Supporting Actress,1946
The Razor's Edge,Best Supporting Actress,1947
Gentleman's Agreement,Best Supporting Actress,1948
Key Largo,Best Supporting Actress,1949
All the King's Men,Best Supporting Actress,1950
Harvey,Best Supporting Actress,1951
A Streetcar Named Desire,Best Supporting Actress,1952
The Bad and the Beautiful,Best Supporting Actress,1953
From Here to Eternity,Best Supporting Actress,1954
On the Waterfront,Best Supporting Actress,1955
East of Eden,Best Supporting Actress,1956
Written on the Wind,Best Supporting Actress,1957
Sayonara,Best Supporting Actress,1958
Separate Tables,Best Supporting Actress,1959
The Diary of Anne Frank,Best Supporting Actress,1960
Elmer Gantry,Best Supporting Actress,1961
West Side Story,Best Supporting Actress,1962
The Miracle Worker,Best Supporting Actress,1963
the V.I.P.s,Best Supporting Actress,1964
Zorba the Greek,Best Supporting Actress,1965
A Patch of Blue,Best Supporting Actress,1966
Who's Afraid of Virginia Woolf?,Best Supporting Actress,1967
Bonnie and Clyde,Best Supporting Actress,1968
Rosemary's Baby,Best Supporting Actress,1969
Cactus Flower,Best Supporting Actress,1970
Airport,Best Supporting Actress,1971
The Last Picture Show,Best Supporting Actress,1972
Butterflies Are Free,Best Supporting Actress,1973
Paper Moon,Best Supporting Actress,1974
Murder on the Orient Express,Best Supporting Actress,1975
Shampoo,Best Supporting Actress,1976
Network,Best Supporting Actress,1977
Julia,Best Supporting Actress,1978
California Suite,Best Supporting Actress,1979
Kramer vs. Kramer,Best Supporting Actress,1980
Melvin and Howard,Best Supporting Actress,1981
Reds,Best Supporting Actress,1982
Tootsie,Best Supporting Actress,1983
The Year of Living Dangerously,Best Supporting Actress,1984
A Passage to India,Best Supporting Actress,1985
Prizzi's Honor,Best Supporting Actress,1986
Hannah and Her Sisters,Best Supporting Actress,1987
Moonstruck,Best Supporting Actress,1988
The Accidental Tourist,Best Supporting Actress,1989
My Left Foot,Best Supporting Actress,1990
Ghost,Best Supporting Actress,1991
The Fisher King,Best Supporting Actress,1992
My Cousin Vinny,Best Supporting Actress,1993
The Piano,Best Supporting Actress,1994
Bullets Over Broadway,Best Supporting Actress,1995
Mighty Aphrodite,Best Supporting Actress,1996
The English Patient,Best Supporting Actress,1997
L.A. Confidential,Best Supporting Actress,1998
Shakespeare in Love,Best Supporting Actress,1999
"Girl, Interrupted",Best Supporting Actress,2000
Pollock,Best Supporting Actress,2001
A Beautiful Mind,Best Supporting Actress,2002
Chicago,Best Supporting Actress,2003
Cold Mountain,Best Supporting Actress,2004
The Aviator,Best Supporting Actress,2005
The Constant Gardener,Best Supporting Actress,2006
Dreamgirls,Best Supporting Actress,2007
Michael Clayton,Best Supporting Actress,2007
Vicky Cristina Barcelona,Best Supporting Actress,2009
Precious,Best Supporting Actress,2010
The Fighter,Best Supporting Actress,2011
The Help,Best Supporting Actress,2012
Les MisÌ©rables,Best Supporting Actress,2013
12 Years a Slave,Best Supporting Actress,2014
The Apartment,Best Director,1961
Kitty Foyle,Best Actress,1941
Philadelphia,Best Actor,1994
The Deer Hunter,Best Director,1979
The Great Lie,Best Supporting Actress,1942
"Girl, Interrupted",Best Supporting Actress,2000
Shampoo,Best Supporting Actress,1976
National Velvet,Best Supporting Actress,1946
Network,Best Actress,1977
Johnny Eager,Best Supporting Actor,1943
The Three Faces of Eve,Best Actress,1958
High Noon,Best Actor,1953
Who's Afraid of Virginia Woolf?,Best Actress,1967
Million Dollar Baby,Best Actress,2005
Million Dollar Baby,Best Actress,2005
Shakespeare in Love,Best Actress,1999
The Subject Was Roses,Best Supporting Actor,1969
Precious,Best Supporting Actress,2010
Pollock,Best Supporting Actress,2001
The Prime of Miss Jean Brodie,Best Actress,1970
The Constant Gardener,Best Supporting Actress,2006
Slumdog Millionaire,Best Director,2009
All the President's Men,Best Supporting Actor,1977
Affliction,Best Supporting Actor,1999
The Treasure of the Sierra Madre,Best Director,1949
